Course ID,Course Title,Upper,Skills
COMPSCI 178,Machine Learning and Data-Mining,True,"['datasets', 'recognition', 'data', 'filtering', 'applications', 'learning', 'spam', 'credit', 'mining', 'principles']"
COMPSCI 179,Algorithms for Probabilistic and Deterministic Graphical Models,True,"['probabilistic', 'graphical', 'models', 'bayesian', 'networks', 'knowledge', 'markov', 'ai', 'deterministic', 'model']"
COMPSCI 180A,Project in Computer Science,True,"['project', 'disciplines', 'knowledge', 'science', 'problem', 'overlap', 'solve', 'neighbor', 'areas', 'world']"
COMPSCI 180B,Project in Computer Science,True,"['project', 'disciplines', 'knowledge', 'science', 'problem', 'overlap', 'solve', 'neighbor', 'areas', 'world']"
COMPSCI 183,Introduction to Computational Biology,True,"['biomolecules', 'biomolecular', 'biochemistry', 'molecular', 'biology', 'modeling', 'mathematics', 'theories', 'methods', 'basics']"
COMPSCI 184A,Artificial Intelligence in Biology and Medicine,True,"['molecular', 'computational', 'biology', 'rna', 'molecules', 'proteins', 'dna', 'introduction', 'evolution', 'structure']"
COMPSCI 184C,Computational Systems Biology,True,"['pathways', 'gene', 'computational', 'transduction', 'networks', 'regulatory', 'cellular', 'regulation', 'modeling', 'mathematical']"
COMPSCI 189,Project in Bioinformatics,True,"['bioinformatics', 'biomedical', 'lectures', 'computing', 'engineering', 'teaches', 'designing', 'ethical', 'discussions', 'algorithm']"
COMPSCI 190,Special Topics in Information and Computer Science,True,"['studies', 'topics', 'information', 'areas', 'science', 'quarter', 'addressed', 'and', 'selected', 'in']"
COMPSCI H198,Honors Research,True,"['repeatability', 'research', 'honors', 'science', 'repeated', 'independent', 'times', 'credit', 'in', 'unlimited']"
COMPSCI 199,Individual Study,True,"['research', 'repeatability', 'science', 'investigation', 'repeated', 'credit', 'times', 'individual', 'unlimited', 'for']"
